iter	Logloss
0	0.6087763141
1	0.5556311674
2	0.5047208216
3	0.4746932297
4	0.4292641527
5	0.3983639461
6	0.3792195483
7	0.3577149581
8	0.3401217413
9	0.3254278451
10	0.3152311515
11	0.3017631133
12	0.2935496861
13	0.2830048516
14	0.2744160432
15	0.2678362664
16	0.2599147792
17	0.2526184113
18	0.2479604654
19	0.2398117436
20	0.2338270647
21	0.2310356389
22	0.2274347374
23	0.224263357
24	0.2207994455
25	0.2180884011
26	0.213502251
27	0.209232306
28	0.2044681369
29	0.2031356771
30	0.2002858771
31	0.1972163845
32	0.1945203143
33	0.192461212
34	0.1884244566
35	0.1856755976
36	0.1833596617
37	0.1798614117
38	0.1781622427
39	0.1771191986
40	0.1762413002
41	0.1732679337
42	0.1710222589
43	0.168367229
44	0.1662726589
45	0.164081549
46	0.1622271657
47	0.1602897836
48	0.1585176656
49	0.1564149019
50	0.1548939465
51	0.1526549741
52	0.1516780735
53	0.1495123692
54	0.1483826554
55	0.1468732123
56	0.1453411957
57	0.1431176664
58	0.1423763241
59	0.1412344018
60	0.1393988324
61	0.1379547333
62	0.1370477965
63	0.1358868455
64	0.1340091935
65	0.1335818758
66	0.1327640815
67	0.1322054821
68	0.1309499095
69	0.1293324977
70	0.1288078798
71	0.1283166065
72	0.1277645014
73	0.127221417
74	0.1267622988
75	0.1255662738
76	0.1244015211
77	0.1225807282
78	0.1213808433
79	0.1209560956
80	0.1203435897
81	0.1199309984
82	0.1195645064
83	0.1194527066
84	0.1193598059
85	0.1186557963
86	0.1176521581
87	0.1162217143
88	0.1152928091
89	0.1133377052
90	0.1122529122
91	0.1116039229
92	0.1108040962
93	0.1095675075
94	0.1090627126
95	0.1083538572
96	0.1071744189
97	0.1067715993
98	0.1062411726
99	0.105356047
100	0.1045490832
101	0.1042625722
102	0.1039354595
103	0.1034740191
104	0.1027762159
105	0.1021825438
106	0.1014725538
107	0.1012985198
108	0.1003635373
109	0.09923788103
110	0.09841655324
111	0.09767733975
112	0.09718005796
113	0.09610463702
114	0.09468841102
115	0.09396673463
116	0.09334067229
117	0.09285476056
118	0.09207120042
119	0.09123847716
120	0.09037011053
121	0.08990272387
122	0.08904034616
123	0.08842567742
124	0.08783354581
125	0.0870073872
126	0.0866596366
127	0.08619197586
128	0.08543004989
129	0.08475888276
130	0.08388580115
131	0.08339330291
132	0.08264403143
133	0.08190341592
134	0.08125921085
135	0.08082424662
136	0.08017912091
137	0.07985501961
138	0.0794754493
139	0.07899722819
140	0.07839073271
141	0.07781664646
142	0.0773545137
143	0.07699688311
144	0.07667503367
145	0.07605132586
146	0.07566983751
147	0.07539467416
148	0.07522162313
149	0.07432477508
150	0.07389995805
151	0.07310322228
152	0.07291722009
153	0.07253867666
154	0.0721336229
155	0.07146149761
156	0.07094534528
157	0.07057086049
158	0.07017182206
159	0.06996246898
160	0.06966156791
161	0.06940382129
162	0.06917173744
163	0.06872743875
164	0.06840421201
165	0.06809844295
166	0.06765412595
167	0.06717628883
168	0.06696877111
169	0.06662674285
170	0.06640379843
171	0.06600869981
172	0.06558188881
173	0.06512907362
174	0.06481145068
175	0.06444047069
176	0.06420160845
177	0.06391914051
178	0.06359681565
179	0.06327125365
180	0.06308159169
181	0.06244478491
182	0.06208088457
183	0.06178990572
184	0.06143339177
185	0.0610149864
186	0.06072393021
187	0.06055957415
188	0.06034112633
189	0.06008969009
190	0.05996102549
191	0.05961823543
192	0.05932084257
193	0.05902679977
194	0.05892960841
195	0.05846716569
196	0.05802746568
197	0.05766071012
198	0.0574217904
199	0.05721172051
200	0.0570247684
201	0.05656222009
202	0.05609427582
203	0.05556721074
204	0.05527006854
205	0.05513291314
206	0.0549216369
207	0.05460005561
208	0.0544216687
209	0.05422179538
210	0.05398553305
211	0.05386118183
212	0.05373763437
213	0.05357548758
214	0.05324473802
215	0.05314683929
216	0.05290767062
217	0.05269664392
218	0.05253851468
219	0.05243788239
220	0.05217784612
221	0.05199429852
222	0.0519093489
223	0.05154529733
224	0.05132224483
225	0.05101476149
226	0.05059253651
227	0.05047434757
228	0.05037053709
229	0.05012856346
230	0.04994890005
231	0.04964534068
232	0.04959554511
233	0.04930083816
234	0.04913422059
235	0.04894075511
236	0.04877829769
237	0.0486045218
238	0.04839740358
239	0.04820037793
240	0.0480567507
241	0.04799868577
242	0.04788252989
243	0.04780651928
244	0.04754426445
245	0.04733691363
246	0.04717906583
247	0.0470216014
248	0.04687731645
249	0.04678442859
250	0.04670345377
251	0.04646496434
252	0.04636094348
253	0.04624448887
254	0.04593866329
255	0.0458547443
256	0.04564718104
257	0.04546280043
258	0.04524869278
259	0.04507658772
260	0.04474310168
261	0.04460682403
262	0.04449118447
263	0.04435790386
264	0.044220134
265	0.04410849942
266	0.04384421999
267	0.04356930876
268	0.0433740314
269	0.04314853227
